-0.69, 13.78, 36.22
-0.68, 13.88, 36.12
-0.68, 13.81, 36.19
-0.72, 13.54, 36.46
-0.68, 13.87, 36.13
-0.53, 15.14, 34.86
-0.37, 16.39, 33.61
-0.06, 19.03, 30.97
-0.05, 18.67, 31.33
0.07, 20.15, 29.85
-0.33, 15.99, 34.01
-0.44, 16.27, 33.73
-0.57, 14.15, 35.85
-0.60, 14.98, 35.02
0.04, 19.83, 30.17
0.30, 21.77, 28.23
1.14, 29.14, 20.86
1.60, 31.93, 18.07
2.30, 38.64, 11.36
2.02, 34.42, 15.58
2.08, 36.95, 13.05
2.10, 35.29, 14.71
1.93, 35.41, 14.59
2.18, 36.48, 13.52
2.33, 38.43, 11.57
2.59, 39.96, 10.04
2.40, 38.49, 11.51
2.49, 39.38, 10.62
2.17, 36.28, 13.72
2.07, 36.17, 13.83
2.37, 38.34, 11.66
2.45, 39.03, 10.97
2.71, 41.30, 8.70
2.09, 35.31, 14.69
2.26, 38.33, 11.67
2.06, 34.84, 15.16
2.18, 37.81, 12.19
2.25, 36.51, 13.49
2.13, 37.07, 12.93
2.41, 38.32, 11.68
1.82, 33.69, 16.31
1.72, 33.27, 16.73
1.03, 26.79, 23.21
0.75, 25.79, 24.21
0.68, 24.33, 25.67
0.63, 24.74, 25.26
0.09, 19.26, 30.74
-0.53, 15.26, 34.74
-0.31, 16.95, 33.05
0.00, 19.60, 30.40
-0.58, 13.93, 36.07
-0.24, 18.42, 31.58
-0.32, 15.78, 34.22
-0.43, 16.71, 33.29
-0.03, 18.78, 31.22
0.28, 22.23, 27.77
-0.76, 11.71, 38.29
-0.31, 18.72, 31.28
-0.10, 17.12, 32.88
0.50, 25.28, 24.72
0.10, 18.05, 31.95
0.72, 27.64, 22.36
0.98, 25.18, 24.82
1.90, 37.28, 12.72
2.02, 33.24, 16.76
1.70, 34.82, 15.18
1.90, 33.19, 16.81
1.98, 36.63, 13.37
1.98, 33.97, 16.03
2.22, 38.50, 11.50
2.25, 36.18, 13.82
2.72, 42.71, 7.29
1.26, 26.69, 23.31
1.08, 30.42, 19.58
1.43, 29.01, 20.99
1.25, 30.91, 19.09
1.32, 28.68, 21.32
1.23, 30.27, 19.73
0.76, 24.05, 25.95
0.55, 24.84, 25.16
1.13, 28.01, 21.99
1.19, 29.37, 20.63
1.02, 26.97, 23.03
0.96, 27.51, 22.49
0.98, 26.87, 23.13
0.67, 24.81, 25.19
1.15, 29.04, 20.96
0.76, 24.75, 25.25
1.34, 31.34, 18.66
1.42, 29.71, 20.29
1.25, 30.24, 19.76
1.82, 33.79, 16.21
1.70, 33.07, 16.93
1.59, 32.02, 17.98
1.54, 31.85, 18.15
1.96, 35.42, 14.58
1.98, 35.03, 14.97
2.06, 36.24, 13.76
2.00, 35.07, 14.93
2.03, 36.00, 14.00
1.70, 32.46, 17.54
1.74, 33.94, 16.06
1.71, 32.56, 17.44
2.46, 40.33, 9.67
2.08, 34.68, 15.32
2.14, 37.94, 12.06
2.10, 35.02, 14.98
1.85, 35.17, 14.83
2.19, 36.46, 13.54
2.30, 38.47, 11.53
2.21, 36.52, 13.48
2.17, 37.32, 12.68
2.06, 35.39, 14.61
1.48, 31.30, 18.70
1.60, 32.43, 17.57
1.68, 32.85, 17.15
1.70, 33.18, 16.82
1.56, 31.77, 18.23
1.34, 30.19, 19.81
1.35, 30.32, 19.68
0.93, 26.46, 23.54
1.13, 29.08, 20.92
0.66, 23.76, 26.24
0.12, 20.80, 29.20
0.12, 20.10, 29.90
0.84, 27.22, 22.78
0.42, 21.48, 28.52
0.98, 29.04, 20.96
0.99, 25.86, 24.14
1.06, 29.42, 20.58
1.62, 31.62, 18.38
2.06, 37.12, 12.88
2.10, 35.34, 14.66
1.87, 35.09, 14.91
1.94, 34.47, 15.53
2.21, 37.94, 12.06
2.15, 35.96, 14.04
2.11, 37.01, 12.99
2.22, 36.82, 13.18
2.12, 36.78, 13.22
2.53, 39.86, 10.14
2.59, 40.23, 9.77
2.50, 39.42, 10.58
2.51, 39.72, 10.28
2.27, 37.39, 12.61
2.18, 37.13, 12.87
1.77, 33.10, 16.90
1.64, 33.03, 16.97
2.20, 37.34, 12.66
2.38, 38.60, 11.40
1.86, 33.91, 16.09
1.07, 27.78, 22.22
1.03, 28.00, 22.00
1.17, 28.82, 21.18
1.46, 31.60, 18.40
1.48, 31.11, 18.89
1.46, 31.50, 18.50
1.14, 28.09, 21.91
0.75, 25.66, 24.34
1.17, 29.16, 20.84
1.08, 27.82, 22.18
0.84, 26.37, 23.63
0.98, 27.39, 22.61
0.96, 27.17, 22.83
1.30, 30.30, 19.70
1.86, 34.63, 15.37
1.77, 33.47, 16.53
1.80, 34.19, 15.81
1.83, 33.96, 16.04
1.92, 35.19, 14.81
1.83, 33.87, 16.13
1.92, 35.34, 14.66
2.08, 36.05, 13.95
1.95, 35.25, 14.75
2.14, 36.85, 13.15
2.25, 37.52, 12.48
2.28, 37.83, 12.17
2.42, 39.01, 10.99
2.14, 36.38, 13.62
2.00, 35.73, 14.27
2.01, 35.49, 14.51
2.19, 37.43, 12.57
1.91, 34.31, 15.69
2.31, 38.95, 11.05
2.36, 37.76, 12.24
1.87, 34.71, 15.29
1.48, 30.88, 19.12
1.20, 29.38, 20.62
1.48, 31.49, 18.51
1.32, 29.92, 20.08
1.07, 28.10, 21.90
1.25, 29.85, 20.15
1.14, 28.43, 21.57
0.71, 25.15, 24.85
0.32, 21.91, 28.09
0.16, 20.89, 29.11
0.35, 22.47, 27.53
0.28, 21.67, 28.33
0.72, 25.94, 24.06
0.55, 23.27, 26.73
0.53, 24.40, 25.60
0.78, 25.49, 24.51
0.97, 27.83, 22.17
0.92, 26.47, 23.53
1.12, 29.16, 20.84
0.96, 26.58, 23.42
0.95, 27.84, 22.16
0.98, 26.86, 23.14
1.10, 29.00, 21.00
1.12, 28.06, 21.94
1.40, 31.52, 18.48
1.42, 30.29, 19.71
1.36, 31.00, 19.00
1.23, 28.85, 21.15
1.27, 30.39, 19.61
1.78, 33.79, 16.21
1.98, 35.68, 14.32
2.08, 36.11, 13.89
1.99, 35.60, 14.40
2.03, 35.89, 14.11
1.85, 34.25, 15.75
1.82, 34.29, 15.71
2.03, 35.93, 14.07
1.87, 34.37, 15.63
1.94, 35.46, 14.54
1.77, 33.37, 16.63
2.12, 37.31, 12.69
1.96, 34.56, 15.44
1.59, 32.69, 17.31
2.33, 38.72, 11.28
1.36, 29.22, 20.78
2.33, 40.42, 9.58
1.98, 33.24, 16.76
1.81, 35.96, 14.04
1.85, 32.78, 17.22
2.50, 41.73, 8.27
2.32, 36.15, 13.85
2.01, 37.34, 12.66
2.33, 37.18, 12.82
2.37, 39.72, 10.28
2.32, 37.26, 12.74
2.42, 40.02, 9.98
2.55, 39.30, 10.70
2.54, 40.74, 9.26
2.16, 35.95, 14.05
2.08, 37.11, 12.89
1.85, 33.48, 16.52
2.04, 37.08, 12.92
2.73, 41.28, 8.72
2.18, 36.86, 13.14
1.92, 35.03, 14.97
2.09, 36.59, 13.41
2.11, 36.44, 13.56
2.17, 37.27, 12.73
2.31, 38.19, 11.81
2.34, 38.52, 11.48
2.33, 38.32, 11.68
2.28, 37.96, 12.04
2.24, 37.56, 12.44
2.19, 37.21, 12.79
2.08, 36.26, 13.74
2.11, 36.71, 13.29
1.96, 35.18, 14.82
2.12, 37.09, 12.91
2.35, 38.39, 11.61
2.63, 41.18, 8.82
2.40, 38.35, 11.65
2.22, 37.86, 12.14
1.63, 31.85, 18.15
1.64, 33.62, 16.38
2.35, 38.48, 11.52
2.33, 38.41, 11.59
2.21, 37.30, 12.70
2.28, 38.18, 11.82
2.25, 37.52, 12.48
2.02, 35.85, 14.15
2.04, 36.09, 13.91
1.36, 29.91, 20.09
1.14, 29.30, 20.70
1.47, 31.48, 18.52
0.84, 25.91, 24.09
0.93, 27.74, 22.26
-0.27, 15.91, 34.09
-0.55, 16.54, 33.46
-0.41, 15.46, 34.54
-0.15, 19.65, 30.35
-0.30, 16.17, 33.83
-0.52, 16.38, 33.62
-0.54, 14.65, 35.35
-0.57, 15.81, 34.19
-0.70, 13.40, 36.60
-0.56, 16.05, 33.95
-0.24, 17.35, 32.65
-0.03, 20.03, 29.97
0.19, 20.94, 29.06
0.94, 28.23, 21.77
1.29, 29.49, 20.51
1.46, 32.10, 17.90
1.35, 29.81, 20.19
1.35, 31.18, 18.82
1.34, 29.90, 20.10
1.54, 32.78, 17.22
1.27, 29.05, 20.95
0.83, 26.78, 23.22
0.65, 24.41, 25.59
0.10, 20.47, 29.53
-0.02, 19.51, 30.49
0.22, 21.79, 28.21
0.15, 20.58, 29.42
-0.09, 19.06, 30.94
0.32, 22.65, 27.35
-0.13, 17.95, 32.05
0.33, 23.50, 26.50
0.11, 19.43, 30.57
-0.01, 20.63, 29.37
-0.67, 12.86, 37.14
-0.37, 18.41, 31.59
-0.26, 16.27, 33.73
-0.36, 18.04, 31.96
-0.27, 16.57, 33.43
-0.36, 17.68, 32.32
-0.87, 11.56, 38.44
-0.53, 16.88, 33.12
0.06, 19.48, 30.52
-0.16, 18.93, 31.07
-0.34, 16.46, 33.54
-0.35, 17.42, 32.58
-0.03, 19.34, 30.66
-0.02, 19.68, 30.32
-0.21, 17.74, 32.26
-0.26, 17.84, 32.16
-0.54, 14.92, 35.08
-0.67, 14.63, 35.37
-0.70, 13.84, 36.16
-0.67, 14.62, 35.38
-0.55, 15.16, 34.84
-0.20, 18.59, 31.41
-0.39, 16.04, 33.96
-0.40, 17.09, 32.91
-0.48, 15.33, 34.67
-0.53, 15.92, 34.08
-0.69, 13.65, 36.35
-0.88, 12.96, 37.04
-0.98, 11.52, 38.48
-0.87, 13.16, 36.84
-0.53, 15.38, 34.62
-0.45, 16.22, 33.78
-0.37, 16.70, 33.30
-0.38, 16.70, 33.30
-0.42, 16.33, 33.67
-0.41, 16.50, 33.50
-0.49, 15.63, 34.37
